file,language,dominant_script,dominant_pct,top_scripts
ara-tn_newscrawl-OSIAN_2018_20260404142426.csv,ara,Arabic,98.62,Arabic 98.6%; Latin 1.4%; Cyrillic 0.0%
ara-tr_newscrawl-OSIAN_2018_20260404142452.csv,ara,Arabic,99.42,Arabic 99.4%; Latin 0.6%
ara-ud-padt.csv,ara,Arabic,99.96,Arabic 100.0%; Latin 0.0%
ara-ud-pud.csv,ara,Arabic,100.0,Arabic 100.0%
ara-uk_newscrawl-OSIAN_2018_20260404142500.csv,ara,Arabic,99.21,Arabic 99.2%; Latin 0.8%
ara_bible.csv,ara,Arabic,100.0,Arabic 100.0%
ara_glot500_arab.csv,ara,Arabic,90.19,Arabic 90.2%; Latin 9.6%; Cyrillic 0.1%; Han 0.0%
ara_news_2005-2009_20260404141744.csv,ara,Arabic,98.68,Arabic 98.7%; Latin 1.3%; Devanagari 0.0%; Cyrillic 0.0%
ara_news_2019_20260404141805.csv,ara,Arabic,98.66,Arabic 98.7%; Latin 1.3%; Cyrillic 0.0%; Greek 0.0%
ara_news_2020_20260404141821.csv,ara,Arabic,97.99,Arabic 98.0%; Latin 2.0%; Cyrillic 0.0%; Ethiopic 0.0%
ara_news_2022_20260404141842.csv,ara,Arabic,97.56,Arabic 97.6%; Latin 2.4%; Cyrillic 0.0%; Hebrew 0.0%
ara_newscrawl_2013_1M_20260404141900.csv,ara,Arabic,99.26,Arabic 99.3%; Latin 0.7%; Hebrew 0.0%
ara_wikipedia_2021_20260404141945.csv,ara,Arabic,90.08,Arabic 90.1%; Latin 9.6%; Han 0.1%; Cyrillic 0.1%
arb_glot500_arab.csv,arb,Arabic,99.77,Arabic 99.8%; Latin 0.2%
arg_glot500_latn.csv,arg,Latin,99.42,Latin 99.4%; Greek 0.2%; Cyrillic 0.1%; Arabic 0.1%
arg_wikipedia_2011_20260404142507.csv,arg,Latin,99.69,Latin 99.7%; Greek 0.1%; Cyrillic 0.1%; Han 0.1%
arg_wikipedia_2021_20260404142520.csv,arg,Latin,99.62,Latin 99.6%; Greek 0.1%; Arabic 0.1%; Cyrillic 0.1%
arn_glot500_latn.csv,arn,Latin,100.0,Latin 100.0%
ary_glot500_arab.csv,ary,Arabic,95.67,Arabic 95.7%; Latin 4.3%; Greek 0.0%; Han 0.0%
arz_glot500_arab.csv,arz,Arabic,82.26,Arabic 82.3%; Latin 17.6%; Cyrillic 0.1%; Greek 0.0%
arz_wikipedia_2021_20260404163609.csv,arz,Arabic,79.85,Arabic 79.8%; Latin 20.0%; Greek 0.1%; Hebrew 0.0%
asm_glot500_beng.csv,asm,Bengali,92.17,Bengali 92.2%; Latin 7.7%; Devanagari 0.0%; Arabic 0.0%
