filename,lang,reason
rue_wikipedia_2010_20260405090131.csv,rue,35.8% hapax overlap with rue_wikipedia_2021_20260405090137.csv
run_community_2017_20260405083921.csv,run,50.1% hapax overlap with run_glot500_latn.csv
rup_wikipedia_2021_20260405072923.csv,rup,43.9% hapax overlap with rup_wikipedia_2012_20260405072917.csv
rus_wikipedia_2010_20260405084808.csv,rus,47.5% hapax overlap with rus_mixed_2013_20260405084012.csv
rus_wikipedia_2011_20260405084854.csv,rus,46.0% hapax overlap with rus_mixed_2013_20260405084012.csv
sah_wikipedia_2011_20260405092806.csv,sah,39.7% hapax overlap with sah_wikipedia_2021_20260405092812.csv
san_glot500_deva.csv,san,64.6% hapax overlap with san_wikipedia_2021_20260405090230.csv
scn_wikipedia_2011_20260405090558.csv,scn,60.9% hapax overlap with scn_wikipedia_2021_20260405090605.csv
sgs_wikipedia_2011_20260405090205.csv,sgs,44.4% hapax overlap with sgs_wikipedia_2021_20260405090211.csv
sin_community_2017_20260405090643.csv,sin,35.6% hapax overlap with sin_glot500_sinh.csv
sin_wikipedia_2011_20260405090655.csv,sin,54.0% hapax overlap with sin_wikipedia_2021_20260405090705.csv
sme_wikipedia_2012_20260405081745.csv,sme,56.8% hapax overlap with sme_wikipedia_2021_20260405081751.csv
smo_wikipedia_2012_20260405090154.csv,smo,38.8% hapax overlap with smo_wikipedia_2021_20260405090200.csv
sna-zw_newscrawl_2013_20260405090531.csv,sna,62.2% hapax overlap with sna_community_2017_20260405090519.csv
sna-zw_web_2016_20260405090539.csv,sna,60.6% hapax overlap with sna-zw_web_2018_100K_20260405090546.csv
sna-zw_web_2018_100K_20260405090546.csv,sna,34.0% hapax overlap with sna_glot500_latn.csv
snd_wikipedia_2012_20260405090629.csv,snd,44.6% hapax overlap with snd_community_2017_20260405090623.csv
snd_wikipedia_2021_20260405090635.csv,snd,52.8% hapax overlap with snd_glot500_arab.csv
som_newscrawl_2011_20260404180646.csv,som,85.2% hapax overlap with som_community_2017_20260405090935.csv
sot-za_web_2013_20260404180733.csv,sot,47.8% hapax overlap with sot_community_2017_20260404180715.csv
sot_web_2012_20260404180721.csv,sot,43.1% hapax overlap with sot_community_2017_20260404180715.csv
sqi_newscrawl_2011_20260404141652.csv,sqi,44.0% hapax overlap with sqi_community_2017_20260404141617.csv
sqi_wikipedia_2021_20260404141700.csv,sqi,33.7% hapax overlap with sqi_community_2017_20260404141617.csv
srd_wikipedia_2012_20260405090246.csv,srd,48.9% hapax overlap with srd_wikipedia_2021_20260405090252.csv
srn_wikipedia_2021_20260404181228.csv,srn,36.7% hapax overlap with srn_glot500_latn.csv
sun_community_2017_20260404181310.csv,sun,55.3% hapax overlap with sun_wikipedia_2021_20260404181323.csv
sun_wikipedia_2007_20260404181317.csv,sun,37.6% hapax overlap with sun_community_2017_20260404181310.csv
swa_newscrawl_2011_20260404181416.csv,swa,75.2% hapax overlap with swa_community_2017_20260404181355.csv
swa_wikipedia_2021_20260404181423.csv,swa,44.2% hapax overlap with swa_community_2017_20260404181355.csv
szl_wikipedia_2012_20260405090611.csv,szl,48.5% hapax overlap with szl_wikipedia_2021_20260405090617.csv
tam_newscrawl_2011_20260404182711.csv,tam,70.2% hapax overlap with tam_community_2017_20260404182451.csv
tat_community_2017_20260404183100.csv,tat,86.3% hapax overlap with tat_mixed_2015_20260404183118.csv
tat_news_2005-2011_20260404183135.csv,tat,53.6% hapax overlap with tat_mixed_2015_20260404183118.csv
tel_newscrawl_2011_20260404183431.csv,tel,75.1% hapax overlap with tel_community_2017_20260404183332.csv
tet_wikipedia_2012_20260404183554.csv,tet,50.1% hapax overlap with tet_wikipedia_2021_20260404183559.csv
tgk_newscrawl_2011_20260404182346.csv,tgk,62.2% hapax overlap with tgk_community_2017_20260404182314.csv
tgl_newscrawl_2011_20260404182235.csv,tgl,69.5% hapax overlap with tgl_community_2017_20260404182149.csv
tgl_newscrawl_2013_300K_20260404182246.csv,tgl,53.4% hapax overlap with tgl_community_2017_20260404182149.csv
tgl_wikipedia_2021_20260404182255.csv,tgl,41.8% hapax overlap with tgl_community_2017_20260404182149.csv
tir_wikipedia_2012_20260404184608.csv,tir,52.4% hapax overlap with tir_wikipedia_2021_20260404184614.csv
ton_wikipedia_2012_20260404184636.csv,ton,33.4% hapax overlap with ton_glot500_latn.csv
ton_wikipedia_2021_20260404184642.csv,ton,35.6% hapax overlap with ton_glot500_latn.csv
tsn_wikipedia_2021_20260404184728.csv,tsn,39.9% hapax overlap with tsn_community_2017_20260404184716.csv
tso-za_web_2018_10K_20260404184710.csv,tso,36.5% hapax overlap with tso_glot500_latn.csv
udm_wikipedia_2012_20260405091125.csv,udm,46.9% hapax overlap with udm_wikipedia_2021_20260405091131.csv
uig_community_2017_20260405092150.csv,uig,53.3% hapax overlap with uig_glot500_arab.csv
uig_wikipedia_2021_20260405092206.csv,uig,47.7% hapax overlap with uig_glot500_arab.csv
uzb_newscrawl_2011_20260405092237.csv,uzb,45.5% hapax overlap with uzb_community_2017_20260405092215.csv
uzb_wikipedia_2021_20260405092247.csv,uzb,51.6% hapax overlap with uzb_community_2017_20260405092215.csv
vec_wikipedia_2011_20260405092313.csv,vec,45.8% hapax overlap with vec_wikipedia_2021_20260405092319.csv
ven_community_2017_20260405092256.csv,ven,34.5% hapax overlap with ven_glot500_latn.csv
ven_wikipedia_2012_20260405092302.csv,ven,63.1% hapax overlap with ven_wikipedia_2021_20260405092307.csv
vls_community_2017_20260405092435.csv,vls,61.2% hapax overlap with vls_wikipedia_2021_20260405092448.csv
vls_wikipedia_2012_20260405092441.csv,vls,72.8% hapax overlap with vls_community_2017_20260405092435.csv
war_wikipedia_2011_20260405092530.csv,war,64.3% hapax overlap with war_community_2017_20260405092521.csv
wln_wikipedia_2021_20260405092513.csv,wln,42.3% hapax overlap with wln_wikipedia_2012_20260405092507.csv
wol_wikipedia_2012_20260405092712.csv,wol,67.8% hapax overlap with wol_community_2017_20260405092706.csv
wol_wikipedia_2021_20260405092717.csv,wol,48.3% hapax overlap with wol_community_2017_20260405092706.csv
xal_wikipedia_2012_20260405082202.csv,xal,64.0% hapax overlap with xal_wikipedia_2021_20260405082208.csv
xho_bible.csv,xho,50.6% hapax overlap with xho_community_2019_20260405092730.csv
xho_community_2017_20260405092723.csv,xho,77.3% hapax overlap with xho_community_2019_20260405092730.csv
xmf_wikipedia_2012_20260405073843.csv,xmf,39.7% hapax overlap with xmf_wikipedia_2021_20260405073849.csv
yid_wikipedia_2011_20260405092820.csv,yid,36.6% hapax overlap with yid_glot500_hebr.csv
yid_wikipedia_2021_20260405092828.csv,yid,33.8% hapax overlap with yid_glot500_hebr.csv
yor_community_2017_20260405092835.csv,yor,62.1% hapax overlap with yor_wikipedia_2011_20260405092847.csv
yor_web_2019_20260405092841.csv,yor,44.5% hapax overlap with yor_wikipedia_2021_20260405092853.csv
yor_wikipedia_2011_20260405092847.csv,yor,36.3% hapax overlap with yor_wikipedia_2021_20260405092853.csv
zea_wikipedia_2012_20260405092859.csv,zea,57.0% hapax overlap with zea_wikipedia_2021_20260405092905.csv
zul_community_2017_20260405092917.csv,zul,61.5% hapax overlap with zul_mixed_2016_20260405092946.csv
zul_mixed_2013_20260405092926.csv,zul,76.2% hapax overlap with zul_mixed_2016_20260405092946.csv
zul_mixed_2014_20260405092936.csv,zul,91.0% hapax overlap with zul_mixed_2016_20260405092946.csv
zul_mixed_2016_20260405092946.csv,zul,52.8% hapax overlap with zul_mixed_2019_20260405093003.csv
