used_shortcut,name,alternative_name,ud_name,leipzig_shortcut,ud_shortcut,til_shortcut,wals_shortcut,iso_code,primary_script,primary_script_pct,secondary_script,secondary_script_pct,distinct_words,total_frequency,family,genus,macroarea,latitude,longitude,countries,data_sources
isl,Icelandic,,,isl,,,isl,isl,Latin,99.98,,0.0,9637177,1186781061,Indo-European,Germanic,Eurasia,65.0,-17.0,Iceland,"bible, mixed, news, newscrawl, web, web-public, wikipedia"
ita,Italian,Italian (Fiorentino),,ita,,,ita,ita,Latin,99.92,,0.0,7215424,2231863043,Indo-European,Romance,Eurasia,43.75,11.25,Italy,"bible, news, newscrawl, web-public, wikipedia"
jav,Javanese,,,jav,,,jav,jav,Latin,99.79,,0.0,177551,2586838,Austronesian,Javanese,Papunesia,-7.0,111.0,Indonesia,"community, wikipedia"
kaa,Kara-Kalpak,Karakalpak,,kaa,,kaa,kaa,kaa,Latin,99.42,,0.0,28778,127681,Altaic,Turkic,Eurasia,43.0,60.0,Uzbekistan,wikipedia
kab,Kabyle,,,kab,,,kab,kab,Latin,99.85,,0.0,43876,296915,Afro-Asiatic,Berber,Africa,36.5,5.0,Algeria,"bible, wikipedia"
kal,Kalaallisut,Greenlandic (East),,kal,,,kal,kal,Latin,100.0,,0.0,120769,461538,Eskimo-Aleut,Eskimo,Eurasia,65.0,-40.0,Greenland,"newscrawl, wikipedia"
kan,Kannada,,,kan,,,kan,kan,Kannada,98.38,Latin,1.56,1150930,9264596,Dravidian,Dravidian,Eurasia,14.0,76.0,India,"bible, community, wikipedia"
kas,Kashmiri,,,kas,,,kas,kas,Arabic,99.56,,0.0,2433,4939,Indo-European,Indic,Eurasia,34.0,76.0,Pakistan; India,wikipedia
kat,Georgian,,,kat,,,kat,kat,Georgian,96.83,Latin,2.96,10295967,648694484,Kartvelian,Kartvelian,Eurasia,42.0,44.0,Georgia,"mixed, news, newscrawl, web, wikipedia"
kaz,Kazakh,,,kaz,,kk,kaz,kaz,Cyrillic,97.33,Latin,2.62,3667931,213213403,Altaic,Turkic,Eurasia,50.0,70.0,Kazakhstan,"news, web, wikipedia"
kbd,Kabardian,,,kbd,,,kbd,kbd,Cyrillic,96.62,Latin,3.29,30819,89065,Northwest Caucasian,Northwest Caucasian,Eurasia,43.5,43.5,Russia,"community, wikipedia"
