used_shortcut,name,alternative_name,ud_name,leipzig_shortcut,ud_shortcut,til_shortcut,wals_shortcut,iso_code,primary_script,primary_script_pct,secondary_script,secondary_script_pct,distinct_words,total_frequency,family,genus,macroarea,latitude,longitude,countries,data_sources
frr,Northern Frisian,Frisian (North),,frr,,,frr,frr,Latin,98.75,Cyrillic,0.59,138211,1271819,Indo-European,Germanic,Eurasia,54.5,9.0,Germany,"glot500, wikipedia"
fry,Western Frisian,Frisian,,fry,,,fry,fry,Latin,99.91,,0.0,996328,26072165,Indo-European,Germanic,Eurasia,53.0,5.0,Netherlands; Germany,"glot500, news, newscrawl, wikipedia"
ful,Fulah,,,ful,,,,ful,Latin,99.58,,0.0,176663,1470412,,,,,,,"glot500, wikipedia"
fur,Friulian,,,fur,,,,fur,Latin,99.83,,0.0,82121,938387,,,,,,,"glot500, wikipedia"
gaa,Gã,,,,,,gaa,gaa,Latin,100.0,,0.0,7,7,Niger-Congo,Ga-Dangme,Africa,5.66666666667,-0.166666666667,Ghana,glot500
gag,Gagauz,,,gag,,gag,gag,gag,Latin,99.85,,0.0,28093,98139,Altaic,Turkic,Eurasia,46.3333333333,28.6666666667,Moldova,wikipedia
gan,Gan Chinese,,,gan,,,,gan,Han,78.62,Latin,19.92,14606,35661,,,,,,,"community, wikipedia"
gaz,West Central Oromo,Oromo (West-Central),,gaz,,,gaz,gaz,Latin,100.0,,0.0,47999,300144,Afro-Asiatic,Lowland East Cushitic,Africa,9.0,37.0,Ethiopia,web
gcf,Guadeloupe Creole,,,,,,gcf,gcf,Latin,100.0,,0.0,619,2340,other,Creoles and Pidgins,North America,16.25,-61.5,Guadeloupe,glot500
gcr,Guianese French Creole,,,,,,gcr,gcr,Latin,100.0,,0.0,16,16,other,Creoles and Pidgins,South America,5.0,-53.0,French Guiana,glot500
gil,Kiribati,,,,,,gil,gil,Latin,100.0,,0.0,16,16,Austronesian,Oceanic,Papunesia,1.33333333333,173.0,Kiribati,glot500
gla,Scottish Gaelic,Gaelic (Scots),,gla,,,gla,gla,Latin,99.82,,0.0,250687,4739721,Indo-European,Celtic,Eurasia,57.0,-4.0,United Kingdom,"bible, glot500, wikipedia"
gle,Irish,Irish (Donegal),,gle,,,gle,gle,Latin,99.88,,0.0,3794750,227458246,Indo-European,Celtic,Eurasia,55.0,-8.0,Ireland,"glot500, web, wikipedia"
glg,Galician,,,glg,,,glg,glg,Latin,99.77,,0.0,4117496,371358317,Indo-European,Romance,Eurasia,43.0,-8.0,Spain,"community, glot500, wikipedia"
glk,Gilaki,,,glk,,,glk,glk,Arabic,96.77,Latin,3.14,651837,20138023,Indo-European,Iranian,Eurasia,37.3333333333,50.0,Iran,"community, glot500, wikipedia"
glv,Manx,,,glv,,,glv,glv,Latin,99.7,,0.0,77598,1299469,Indo-European,Celtic,Eurasia,54.1666666667,-4.5,United Kingdom,"bible, glot500, wikipedia"
gom,Goan Konkani,,,gom,,,,gom,Latin,67.68,Devanagari,32.3,177918,1417595,,,,,,,"community, glot500, newscrawl, wikipedia"
gor,Gorontalo,,,gor,,,gor,gor,Latin,99.56,,0.0,46924,433826,Austronesian,Greater Central Philippine,Papunesia,0.5,122.0,Indonesia,"glot500, wikipedia"
grc,,,,,,,,grc,Greek,99.98,,0.0,46007,411991,,,,,,,glot500
grn,Guarani,,,grn,,,,grn,Latin,99.89,,0.0,221260,1926541,,,,,,,"community, glot500, wikipedia"
gsw,Swiss German,Alsatian,,gsw,,,gsw,gsw,Latin,99.87,,0.0,977279,10945704,Indo-European,Germanic,Eurasia,48.5,7.5,France,"glot500, wikipedia"
guc,Goajiro,,,,,,guc,guc,Latin,100.0,,0.0,18782,207465,Arawakan,Guajiro-Paraujano,South America,12.0,-72.0,Colombia; Venezuela,glot500
gug,Guaraní,,,,,,gug,gug,Latin,99.93,,0.0,14283,140458,Tupian,Maweti-Guarani,South America,-26.0,-56.0,Paraguay,glot500
guj,Gujarati,,,guj,,,guj,guj,Gujarati,85.59,Devanagari,10.96,5445982,319922531,Indo-European,Indic,Eurasia,23.0,72.0,India,"bible, glot500, news, newscrawl, wikipedia"
gym,Ngäbere,,,,,,gym,gym,Latin,100.0,,0.0,6583,337187,Chibchan,Guaymiic,North America,8.66666666667,-82.0,Panama,glot500
hak,Hakka Chinese,Hakka,,hak,,,hak,hak,Latin,98.24,Han,1.66,9916,38241,Sino-Tibetan,Chinese,Eurasia,25.0,116.0,China,wikipedia
hat,Haitian Creole,,,hat,,,hat,hat,Latin,99.64,,0.0,2611978,99424093,other,Creoles and Pidgins,North America,19.0,-72.5,Haiti,"community, glot500, wikipedia"
hau,Hausa,,,hau,,,hau,hau,Latin,82.25,Arabic,13.92,2647523,123258766,Afro-Asiatic,West Chadic,Africa,12.0,7.0,Nigeria; Niger,"community, glot500, newscrawl, wikipedia"
haw,Hawaiian,,,haw,,,haw,haw,Latin,95.87,,0.0,1309713,33631799,Austronesian,Oceanic,Papunesia,19.5833333333,-155.5,United States,"glot500, wikipedia"
hbo,,,,,,,,hbo,Hebrew,100.0,,0.0,633,835,,,,,,,glot500
hbs,Serbo-Croatian,Serbian-Croatian,,hbs,,,hbs,hbs,Latin,67.17,Cyrillic,32.66,11675735,679947593,Indo-European,Slavic,Eurasia,44.0,19.0,Serbia and Montenegro; Bosnia-Herzegovina; Croatia,"glot500, newscrawl, wikipedia"
